file_name,aspect_ratio,x_start_pct,y_start_pct,width_pct,height_pct,alt text that is SEO friendly,reason,score,similar_to
IMG_0603.jpeg,3:4,10,5,80,90,"Healthy snack plate with labneh dip, cucumbers, carrots, pistachios, and sauce",Focused crop on the food plate and colorful rug background adds texture; vertical aspect ratio emphasizes the clean layout and colors.,8,"IMG_1396.jpeg,IMG_1451.jpeg"
IMG_0613.jpeg,16:9,0,20,100,60,"Flatbread pizza with olives, mushrooms, spinach and cheese on dining table","Wide crop captures the table setting and atmosphere, great for banner or header image.",9,"IMG_0868.jpeg,IMG_1297.jpeg"
IMG_0868.jpeg,5:4,10,10,80,80,"Vegetarian flatbread pizza with tomatoes, olives, and bell peppers",Tighter crop to highlight the toppings and colors on the pizza.,8,"IMG_0613.jpeg,IMG_1297.jpeg"
IMG_1014.jpeg,3:2,0,10,100,80,Close-up of espresso pouring into a ceramic cup,Framed to emphasize the motion and texture of espresso; the machine provides leading lines.,9,
IMG_1070.jpeg,4:3,5,5,90,90,Sunny side up eggs with herbs and spices on top,"Crop enhances the beautiful yolk color and herb garnish, with slight asymmetry for interest.",9,IMG_1428.jpeg
IMG_1297.jpeg,4:3,5,10,90,80,Creamy pasta with asparagus and mushrooms in a skillet,"Close crop maximizes visibility of texture and ingredients, feels hearty and warm.",8,"IMG_0613.jpeg,IMG_0868.jpeg"
IMG_1396.jpeg,3:4,10,10,80,90,Fresh spinach salad with avocado and soft boiled eggs,"Crop emphasizes freshness, vibrant colors, and the symmetry of the avocado halves.",8,IMG_0603.jpeg
IMG_1428.jpeg,2:1,0,20,100,60,Steamed dumplings with greens on white plate,Horizontal crop suits the plate layout and creates visual balance with the dumplings.,8,IMG_1070.jpeg
IMG_1451.jpeg,1:1,15,15,70,70,Jar of grated carrots on wooden cutting board in kitchen,Square crop centers on the jar with vibrant orange color and slight messiness for realism.,7,IMG_0603.jpeg
IMG_1636.jpeg,3:2,5,10,90,80,Lentil soup served with whole grain bread on a shared table,Emphasizes social dining with symmetrical bowl placement and texture of the soup.,8,
